match_id,puuid,region_id,queue_id
EUW1_7372492557,pz_ZwKoE-fCKwVAbJMsqgcjJCLSx-U4wf--XqUN_QnVvA_0Fyc5USt8Hxbif8kjxq9nwdO6WmAnWwg,3,420
EUW1_7372466321,pz_ZwKoE-fCKwVAbJMsqgcjJCLSx-U4wf--XqUN_QnVvA_0Fyc5USt8Hxbif8kjxq9nwdO6WmAnWwg,3,420
EUW1_7372452625,pz_ZwKoE-fCKwVAbJMsqgcjJCLSx-U4wf--XqUN_QnVvA_0Fyc5USt8Hxbif8kjxq9nwdO6WmAnWwg,3,420
EUW1_7372149371,pz_ZwKoE-fCKwVAbJMsqgcjJCLSx-U4wf--XqUN_QnVvA_0Fyc5USt8Hxbif8kjxq9nwdO6WmAnWwg,3,420
EUW1_7371990379,pz_ZwKoE-fCKwVAbJMsqgcjJCLSx-U4wf--XqUN_QnVvA_0Fyc5USt8Hxbif8kjxq9nwdO6WmAnWwg,3,420
EUW1_7371976353,pz_ZwKoE-fCKwVAbJMsqgcjJCLSx-U4wf--XqUN_QnVvA_0Fyc5USt8Hxbif8kjxq9nwdO6WmAnWwg,3,420
EUW1_7371940730,pz_ZwKoE-fCKwVAbJMsqgcjJCLSx-U4wf--XqUN_QnVvA_0Fyc5USt8Hxbif8kjxq9nwdO6WmAnWwg,3,420
EUW1_7371776795,pz_ZwKoE-fCKwVAbJMsqgcjJCLSx-U4wf--XqUN_QnVvA_0Fyc5USt8Hxbif8kjxq9nwdO6WmAnWwg,3,420
EUW1_7371638100,pz_ZwKoE-fCKwVAbJMsqgcjJCLSx-U4wf--XqUN_QnVvA_0Fyc5USt8Hxbif8kjxq9nwdO6WmAnWwg,3,420
EUW1_7328702763,pz_ZwKoE-fCKwVAbJMsqgcjJCLSx-U4wf--XqUN_QnVvA_0Fyc5USt8Hxbif8kjxq9nwdO6WmAnWwg,3,420
EUW1_7328654378,pz_ZwKoE-fCKwVAbJMsqgcjJCLSx-U4wf--XqUN_QnVvA_0Fyc5USt8Hxbif8kjxq9nwdO6WmAnWwg,3,420
EUW1_7328614241,pz_ZwKoE-fCKwVAbJMsqgcjJCLSx-U4wf--XqUN_QnVvA_0Fyc5USt8Hxbif8kjxq9nwdO6WmAnWwg,3,420
EUW1_7327744557,pz_ZwKoE-fCKwVAbJMsqgcjJCLSx-U4wf--XqUN_QnVvA_0Fyc5USt8Hxbif8kjxq9nwdO6WmAnWwg,3,420
EUW1_7327735550,pz_ZwKoE-fCKwVAbJMsqgcjJCLSx-U4wf--XqUN_QnVvA_0Fyc5USt8Hxbif8kjxq9nwdO6WmAnWwg,3,420
EUW1_7327721144,pz_ZwKoE-fCKwVAbJMsqgcjJCLSx-U4wf--XqUN_QnVvA_0Fyc5USt8Hxbif8kjxq9nwdO6WmAnWwg,3,420
EUW1_7327707830,pz_ZwKoE-fCKwVAbJMsqgcjJCLSx-U4wf--XqUN_QnVvA_0Fyc5USt8Hxbif8kjxq9nwdO6WmAnWwg,3,420
EUW1_7327657257,pz_ZwKoE-fCKwVAbJMsqgcjJCLSx-U4wf--XqUN_QnVvA_0Fyc5USt8Hxbif8kjxq9nwdO6WmAnWwg,3,420
EUW1_7327653942,pz_ZwKoE-fCKwVAbJMsqgcjJCLSx-U4wf--XqUN_QnVvA_0Fyc5USt8Hxbif8kjxq9nwdO6WmAnWwg,3,420
EUW1_7327627862,pz_ZwKoE-fCKwVAbJMsqgcjJCLSx-U4wf--XqUN_QnVvA_0Fyc5USt8Hxbif8kjxq9nwdO6WmAnWwg,3,420
EUW1_7327590975,pz_ZwKoE-fCKwVAbJMsqgcjJCLSx-U4wf--XqUN_QnVvA_0Fyc5USt8Hxbif8kjxq9nwdO6WmAnWwg,3,420
EUW1_7327565925,pz_ZwKoE-fCKwVAbJMsqgcjJCLSx-U4wf--XqUN_QnVvA_0Fyc5USt8Hxbif8kjxq9nwdO6WmAnWwg,3,420
EUW1_7327474050,pz_ZwKoE-fCKwVAbJMsqgcjJCLSx-U4wf--XqUN_QnVvA_0Fyc5USt8Hxbif8kjxq9nwdO6WmAnWwg,3,420
EUW1_7327421563,pz_ZwKoE-fCKwVAbJMsqgcjJCLSx-U4wf--XqUN_QnVvA_0Fyc5USt8Hxbif8kjxq9nwdO6WmAnWwg,3,420
EUW1_7398945492,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA,3,420
