region,tier,division,summonerId,puuid
na1,GOLD,I,jpsGKF1kF2CbqYE20wRSQaBnWV1CvY7a_beR01yXB_roEJ2X,yqiYAvoYAvo-5gtlaw641XMe0t0qPNZt1i9KSYqUcu6HAdp7ngF0x361-tUfWAqyJcgE4peuUytRQw
na1,GOLD,I,MsNc5A5TgjdIEPS9i6gjQjcD_iYD3he8RLcazB995jOld563,-e049RSJg21TwMW9WIpeCYdZm1dezFNeKJHU5WmUQS5ziZDzmn8b-eyI5DzfmXMcRFGVYM-5HkhGnw
na1,GOLD,I,r3a4m7inLeOVWuPFKYvw9I_fJvNRNuIGKLSGYJirtXJe5eMA,9pfTi81V2Tx-2g4HzdPMTRm_RnwyArB_aEHj7_UE9ygFHQM34NSC8cpN4t6gobsSwRDo1uRbcAYPog
na1,GOLD,I,vdyyjhc9xXYVIulA6oMPjiWBSvf-l8SjZjL8zwVgCSAlZ6gr,cCtnLWOfrMyDeP119DYOrpW1iL6HryIP2n1OeMBMPb5C6FtRDgFYRV2fAF9LG-aV5mO5c6bVEf8LQQ
na1,GOLD,I,ZTTr63ObJbY8yGEAn0-UWsxnpQxe5oYA5brE2-xCaLsIVG1p,QfEjUjo1Np2xRr0mZKJPvjXzTc2BMup4ixmw6BBUSU-6D6Pq2ztpebtbPRExLBYz9EFtWkndT64pqA
na1,GOLD,I,V3YmNu-uKsiiCiizACJswYbT29vZvUKBa7UqorMfLqX9PX0-,tUKgg_5ZFFPdiJQKEZJ6_9VDe0ZNnRWMuwQRD1lFo7fOnR2BZXMt9KVNWE2GkUY9ARyO3PdgE_cDjA
na1,GOLD,I,nrcnf6X_J7DKeIpczB211iu4gP0wlvgOcgFpKNISd-Njt1EN,8xYwBZZVKFp3O1jYv7rfb_2qGQ__m_2H558AqCGGAHIBEHeecPOZ9AKA_PxUK1Oby2DcRbKEHRXWNQ
na1,GOLD,I,jhoHIx34Tt1YMmB8fEuPaP77MQzp1aTPQ7B1xmPXRLixDCkP,g5-UklZd3Vu_BpO5bbtZO2EAuyNpKW-84UTb-bVarq3K83gbM1V-owNGjoxzngZu6I4h36hX3YgRsg
na1,GOLD,I,xX8wKpFXC0fErlRBIi28ordWcKL6DKkmgajST6xfqSoiAeqN,wxmtP2OUs6Dmn92fC7I1gENGK8f5hvvkuOOEuxXt_BOsOcnBrfM_RjykrteKiaqeyu2F-sVlU_jZPg
na1,GOLD,I,vDFNzfBfoA2g0uZuSnWtg4JkQm2WmR6ECw7-Ug8OVLIvi1YX,YDz3uJuxNxBAEuei1XnkeYHJlrIU5FbQz6trw2HRH5IHE-BhTmwYmj4RT-uWUv84MJL2N6QEpsYOxA
na1,GOLD,I,QxubKye5AK5fZiZaivUvUK1KMMYHm75wwDhudHtSJU1n-_Dl,AQ79Aob-3UZBW3xAck1BqMtuxFeZhhIoLq_GyTUIOiMy0fLBcWs9euOA38yhhylwR2gFa63jEJe98w
