champion_id,region,tier,games_played,wins,avg_kda,avg_damage_dealt,avg_gold_earned,avg_cs,avg_vision_score,win_rate,pick_rate,ban_rate
902,kr,GOLD,4,1,1.86,4359.25,6604.75,25.0,42.25,0.25,0.0037,0.0074
902,kr,PLATINUM,5,4,7.64,5384.2,6641.0,24.4,52.6,0.8,0.0044,0.0053
902,na1,DIAMOND,5,2,2.58,5022.8,6654.0,18.0,34.0,0.4,0.0043,0.0441
902,na1,GOLD,2,1,4.56,7237.5,8247.5,23.0,59.5,0.5,0.0019,0.0162
902,na1,PLATINUM,9,5,3.62,6951.33,8225.22,25.89,67.78,0.5556,0.008,0.0365
910,eun1,DIAMOND,2,1,11.13,24920.0,12750.5,209.0,22.0,0.5,0.0017,0.0574
910,eun1,EMERALD,6,3,3.12,25434.33,10523.0,124.17,27.0,0.5,0.0052,0.0757
910,eun1,GOLD,2,1,1.93,46090.5,16391.0,268.5,19.5,0.5,0.0019,0.0372
910,eun1,PLATINUM,15,9,2.85,23874.67,10967.2,137.87,33.47,0.6,0.0131,0.0454
910,euw1,DIAMOND,1,1,1.22,17393.0,11325.0,220.0,22.0,1.0,0.0009,0.0469
910,euw1,EMERALD,2,1,4.27,26066.5,12198.5,215.0,10.0,0.5,0.0018,0.0648
910,euw1,PLATINUM,4,3,3.68,25227.0,11202.0,194.75,12.75,0.75,0.0035,0.0567
910,kr,DIAMOND,12,10,3.57,30683.67,11962.92,208.75,20.92,0.8333,0.0104,0.0295
910,kr,EMERALD,6,2,2.8,20501.67,9315.83,173.17,21.0,0.3333,0.0054,0.0778
910,kr,GOLD,11,4,3.52,18617.36,8618.18,46.45,70.55,0.3636,0.0102,0.0444
910,kr,PLATINUM,43,23,4.06,29039.65,11746.91,196.98,20.02,0.5349,0.038,0.0997
910,na1,DIAMOND,16,10,4.57,26312.63,12078.0,192.38,23.38,0.625,0.0138,0.0407
910,na1,EMERALD,14,10,4.39,23382.36,10649.93,156.5,14.5,0.7143,0.0124,0.0742
910,na1,GOLD,32,22,2.75,26477.97,11489.19,172.38,21.59,0.6875,0.0305,0.0543
910,na1,PLATINUM,12,10,5.53,37153.75,13251.5,178.5,12.33,0.8333,0.0107,0.0793
950,eun1,EMERALD,3,2,4.45,32240.67,15139.67,241.67,19.33,0.6667,0.0026,0.1809
950,eun1,GOLD,1,0,0.78,10643.0,8451.0,117.0,6.0,0.0,0.0009,0.175
950,eun1,PLATINUM,4,1,2.99,24946.5,12057.25,180.25,23.25,0.25,0.0035,0.1773
950,euw1,DIAMOND,1,0,1.0,5508.0,6350.0,137.0,13.0,0.0,0.0009,0.2589
950,euw1,EMERALD,8,6,5.75,27445.0,13369.13,201.63,17.75,0.75,0.0073,0.302
950,euw1,GOLD,8,4,2.6,16153.88,10148.75,160.5,16.5,0.5,0.0071,0.2513
950,euw1,PLATINUM,1,1,3.6,33606.0,17099.0,258.0,34.0,1.0,0.0009,0.2714
950,kr,DIAMOND,18,11,3.99,15838.33,10795.17,168.0,25.11,0.6111,0.0156,0.401
950,kr,EMERALD,9,8,7.91,20617.11,13025.44,189.89,29.78,0.8889,0.0081,0.3855
950,kr,GOLD,7,4,2.84,14868.86,10604.57,161.0,26.14,0.5714,0.0065,0.2689
950,na1,DIAMOND,3,0,1.94,20472.67,9632.0,166.0,22.33,0.0,0.0026,0.4429
950,na1,EMERALD,2,1,1.95,21628.5,12080.0,188.0,17.0,0.5,0.0018,0.2429
950,na1,GOLD,7,4,4.02,25795.71,14411.43,192.86,25.14,0.5714,0.0067,0.2086
950,na1,PLATINUM,7,6,3.9,26919.0,13602.14,188.14,18.43,0.8571,0.0062,0.1711
